external relations,freedom and democracy,political system,economy,welfare and quality of life,fabric of society,social groups
2.2333915694616735e-05,0.99991774559021,2.1575602659140714e-05,5.114699888508767e-06,1.1525517038535327e-05,1.875869565992616e-05,2.9307902877917513e-06
0.9964631199836731,0.002439398318529129,0.00019584438996389508,4.657380486605689e-05,9.410540769749787e-06,0.0008395586628466845,6.10281813351321e-06
0.999976634979248,2.4229602786363102e-06,2.1992088932165643e-06,4.898525276075816e-06,2.4379987735301256e-06,1.0577849025139585e-05,8.825080612950842e-07
0.9999743700027466,6.236977696971735e-06,2.8623837806662777e-06,4.4910334509040695e-06,2.2376827928383136e-06,9.008303095470183e-06,7.086680398060707e-07
1.2087929462722968e-05,1.1079782780143432e-06,4.261606954969466e-05,6.111437687650323e-05,6.103215582697885e-06,1.4201339581632055e-05,0.9998626708984375
0.999687671661377,0.00024098526046145707,1.609996979823336e-05,6.665590717602754e-06,8.321260793309193e-06,3.8064405089244246e-05,2.0927136574755423e-06
0.9999692440032959,3.954716703447048e-06,2.6821394385478925e-06,2.3098039036995033e-06,1.7407949144399026e-06,1.905290082504507e-05,1.0065182323160116e-06
0.9999023675918579,4.984635961591266e-05,1.4743551218998618e-05,4.456221631699009e-06,4.155184797127731e-06,2.3427246560459025e-05,9.688658337836387e-07
0.9999772310256958,2.243092467324459e-06,3.242865204811096e-06,5.057167982158717e-06,2.3441523353540106e-06,9.084248631552327e-06,8.01585315457487e-07
0.9999775886535645,3.925058990716934e-06,2.4046548787737265e-06,4.91291166326846e-06,2.6573250124783954e-06,7.735938197583891e-06,7.854408181628969e-07
0.9999765157699585,2.373240022279788e-06,2.3011971279629506e-06,6.725273124175146e-06,3.1697397844254738e-06,7.918793926364742e-06,9.334672199656779e-07
0.9999706745147705,7.945177458168473e-06,3.6125927636021515e-06,3.6363153412821703e-06,2.8381296033330727e-06,1.0545362783886958e-05,6.714989240208524e-07
0.9999781847000122,2.806249540299177e-06,2.530259280320024e-06,4.479124982026406e-06,2.1024129637225997e-06,9.059297553903889e-06,8.022361157600244e-07
0.9999521970748901,1.0720878890424501e-05,8.96312303666491e-06,4.841157533519436e-06,3.0274541131802835e-06,1.91033941518981e-05,1.1748495580832241e-06
