external relations,freedom and democracy,political system,economy,welfare and quality of life,fabric of society,social groups
6.156674498924986e-05,3.2161304261535406e-05,0.9996939897537231,9.160312765743583e-05,2.7133359253639355e-05,8.699832687852904e-05,6.496126843558159e-06
0.9998979568481445,1.0306984222552273e-05,2.3765969672240317e-05,1.0176309842790943e-05,1.4637181266152766e-05,4.1393243009224534e-05,1.739983758852759e-06
0.9833479523658752,0.00024388048041146249,0.015323626808822155,0.00010064973321277648,7.108353747753426e-05,0.0008874370832927525,2.5452171030337922e-05
0.9999774694442749,2.2823508061264874e-06,2.8978188311157282e-06,5.003039404982701e-06,2.307911245225114e-06,9.274443982576486e-06,7.83525479164382e-07
0.9999434947967529,1.5951467503327876e-05,9.494709956925362e-06,5.253227300272556e-06,4.662662831833586e-06,2.02599803742487e-05,8.345028277290112e-07
0.999586284160614,0.000303662964142859,1.463083299313439e-05,3.244059371354524e-06,8.088471076916903e-06,8.267307566711679e-05,1.5140153664106037e-06
9.741090707393596e-07,5.216639237914933e-06,1.554227765154792e-06,4.377486220619176e-06,0.9999570846557617,1.7063399354810826e-05,1.3686358215636574e-05
0.9999643564224243,7.139633453334682e-06,4.365827408037148e-06,3.7354154756030766e-06,3.1562387903250055e-06,1.6570693333051167e-05,7.161902431107592e-07
0.00031651800964027643,7.644762081326917e-05,0.9991466999053955,5.158226485946216e-05,8.018252992769703e-05,0.0003223707026336342,6.177207524160622e-06
0.9456818103790283,0.004441299941390753,0.0023045972920954227,0.00015972988330759108,0.0017016265774145722,0.04148267209529877,0.0042283060029149055
0.9999730587005615,3.642408046289347e-06,4.682268809119705e-06,3.996467057731934e-06,2.2252581857173936e-06,1.1636068848019931e-05,6.488090775746969e-07
0.9999723434448242,4.377799541543936e-06,4.6959535211499315e-06,3.618912614911096e-06,2.1994007965986384e-06,1.2094905287085567e-05,6.502948508568807e-07
0.9999098777770996,3.95882707380224e-05,1.446762507839594e-05,5.3591261348628905e-06,5.492506261361996e-06,2.4093435058603063e-05,1.1407865940782358e-06
0.004416650626808405,0.005063483025878668,0.255172461271286,0.525043249130249,0.09498514235019684,0.029796957969665527,0.08552198857069016
0.004016655031591654,0.9874245524406433,0.0007364812772721052,2.0704252165160142e-05,0.00013762502931058407,0.0075464313849806786,0.00011752802674891427
0.9999189376831055,4.739399446407333e-05,6.869212484161835e-06,3.8029788811400067e-06,3.97834128307295e-06,1.8117823856300674e-05,9.380047458762419e-07
1.4141892279440071e-05,0.000192062376299873,0.9995493292808533,2.1365169232012704e-05,4.152844121563248e-05,0.00018003523291554302,1.5075279407028574e-06
0.00013964161917101592,0.9987107515335083,0.0006240816437639296,8.868298209563363e-06,2.1819201720063575e-05,0.0004918560152873397,3.078161398661905e-06
0.9998898506164551,1.8019216440734453e-05,3.2421292416984215e-05,7.0326041168300435e-06,5.210739800531883e-06,4.603685738402419e-05,1.4166589608066715e-06
0.9457879066467285,0.000731757958419621,0.0014943537535145879,0.00031113895238377154,0.04838470369577408,0.003074533538892865,0.00021563701739069074
0.0007727548363618553,0.9987229704856873,5.8543704653857276e-05,1.2600543414009735e-05,0.00010157486394746229,0.00025581548106856644,7.563990220660344e-05
0.9988349080085754,0.0005582540761679411,0.00041103054536506534,2.3430304281646386e-05,2.2604697733186185e-05,0.0001466304383939132,3.1273193599190563e-06
0.9999727010726929,4.499093392951181e-06,3.081110662606079e-06,2.698919161048252e-06,2.068857838821714e-06,1.4374188140209299e-05,6.726206152052328e-07
0.9999767541885376,2.6459961190994363e-06,3.129121296296944e-06,4.553352482616901e-06,2.5745957827894017e-06,9.61588739301078e-06,6.769813580831396e-07
